format_example

Input directory: /Users/magneto/Desktop/Codex Playground/PeanutButterUltima/input
Archive directory: /Users/magneto/Desktop/Codex Playground/PeanutButterUltima/archive_example
Archive header length: 40
Recovery header length: 16
L1 block length: 64
L1 payload bytes: 48
L3 page length: 256

Bundle log:
  Bundle job starting...
  Found 5 files and 1 empty folders to bundle.
  Bundled archive 1 / 1, 5 files written, 33 B / 33 B.
  Bundle job complete.

Input files (ordered):
  FILE distant/jupiter.cpp (9 bytes)
  FILE distant/mars.cpp (7 bytes)
  FILE early/greece.txt (6 bytes)
  FILE england.txt (6 bytes)
  FILE junk/france.txt (5 bytes)
  DIR  empty

================================================================================
ARCHIVE_FILE_BEGIN | bundle_input_1.PBTR | archive_index=0 | archive_count=1 | payload_length=256 | file_length=296
================================================================================
ZONE       | ARCHIVE_FILE             | OFFSET     | BYTE   | FIELD                                  | VALUE                | NOTE
--------------------------------------------------------------------------------
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000000 | 0x1e   | ah_magic_b1of4                         | 0xf01dab1e           | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000001 | 0xab   | ah_magic_b2of4                         | 0xf01dab1e           | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000002 | 0x1d   | ah_magic_b3of4                         | 0xf01dab1e           | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000003 | 0xf0   | ah_magic_b4of4                         | 0xf01dab1e           | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000004 | 0x01   | ah_ver_major_b1of2                     | 1                    | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000005 | 0x00   | ah_ver_major_b2of2                     | 1                    | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000006 | 0x00   | ah_ver_minor_b1of2                     | 0                    | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000007 | 0x00   | ah_ver_minor_b2of2                     | 0                    | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000008 | 0x15   | ah_id_b1of8                            | 0xf6d66716b637a515   | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000009 | 0xa5   | ah_id_b2of8                            | 0xf6d66716b637a515   | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x0000000a | 0x37   | ah_id_b3of8                            | 0xf6d66716b637a515   | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x0000000b | 0xb6   | ah_id_b4of8                            | 0xf6d66716b637a515   | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x0000000c | 0x16   | ah_id_b5of8                            | 0xf6d66716b637a515   | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x0000000d | 0x67   | ah_id_b6of8                            | 0xf6d66716b637a515   | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x0000000e | 0xd6   | ah_id_b7of8                            | 0xf6d66716b637a515   | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x0000000f | 0xf6   | ah_id_b8of8                            | 0xf6d66716b637a515   | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000010 | 0x00   | ah_index_b1of4                         | 0                    | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000011 | 0x00   | ah_index_b2of4                         | 0                    | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000012 | 0x00   | ah_index_b3of4                         | 0                    | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000013 | 0x00   | ah_index_b4of4                         | 0                    | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000014 | 0x01   | ah_count_b1of4                         | 1                    | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000015 | 0x00   | ah_count_b2of4                         | 1                    | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000016 | 0x00   | ah_count_b3of4                         | 1                    | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000017 | 0x00   | ah_count_b4of4                         | 1                    | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000018 | 0x00   | ah_payload_len_b1of4                   | 256                  | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000019 | 0x01   | ah_payload_len_b2of4                   | 256                  | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x0000001a | 0x00   | ah_payload_len_b3of4                   | 256                  | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x0000001b | 0x00   | ah_payload_len_b4of4                   | 256                  | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x0000001c | 0x05   | ah_file_count_mod256                   | 5                    | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x0000001d | 0x01   | ah_dir_count_mod256                    | 1                    | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x0000001e | 0x00   | ah_pad_b1of2                           | -                    | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x0000001f | 0x00   | ah_pad_b2of2                           | -                    | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000020 | 0x00   | ah_reserved_b1of8                      | 0                    | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000021 | 0x00   | ah_reserved_b2of8                      | 0                    | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000022 | 0x00   | ah_reserved_b3of8                      | 0                    | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000023 | 0x00   | ah_reserved_b4of8                      | 0                    | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000024 | 0x00   | ah_reserved_b5of8                      | 0                    | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000025 | 0x00   | ah_reserved_b6of8                      | 0                    | 
[AR-HEAD]  | bundle_input_1.PBTR      | 0x00000026 | 0x00   | ah_reserved_b7of8                      | 0                    | 
